1 0.7855 65.99  1.055324 56.47
2 0.5722 80.20  1.008203 49.41
3 0.3634 90.86  1.007931 49.41
4 0.2360 96.45  0.983950 50.59
5 0.1311 98.48  1.028543 57.65
6 0.0773 100.00  1.040220 55.29
7 0.2360 90.86  1.837964 49.41
8 0.0449 100.00  1.150794 54.12
9 0.0218 100.00  0.981555 54.12
10 0.0205 100.00  1.060281 50.59
11 0.0157 100.00  1.004941 56.47
12 0.0118 100.00  1.110303 52.94
13 0.0060 100.00  0.907364 60.00
14 0.0073 100.00  0.913827 55.29
15 0.0060 100.00  0.972027 58.82
16 0.0057 100.00  1.105820 56.47
17 0.0033 100.00  0.983240 58.82
18 0.0029 100.00  0.949545 61.18
19 0.0035 100.00  1.124630 56.47
20 0.0034 100.00  1.047897 57.65
21 0.0021 100.00  0.995682 55.29
22 0.0017 100.00  0.972168 58.82
23 0.0015 100.00  0.979193 58.82
24 0.0013 100.00  0.989605 60.00
25 0.0013 100.00  0.971236 60.00
26 0.0011 100.00  0.972607 60.00
27 0.0011 100.00  1.026976 51.76
28 0.0009 100.00  0.975013 61.18
29 0.0010 100.00  0.983515 60.00
30 0.0011 100.00  0.981131 60.00
31 0.0009 100.00  0.963486 60.00
32 0.0008 100.00  0.966802 60.00
33 0.0007 100.00  0.971883 61.18
34 0.0007 100.00  0.971204 62.35
35 0.0007 100.00  0.985122 61.18
36 0.0006 100.00  0.989150 61.18
37 0.0006 100.00  0.995314 62.35
38 0.0006 100.00  0.985311 60.00
39 0.0006 100.00  0.990682 62.35
40 0.0005 100.00  0.993241 60.00
41 0.0005 100.00  1.002513 58.82
42 0.0005 100.00  0.997416 60.00
43 0.0005 100.00  0.999487 61.18
44 0.0005 100.00  1.001539 61.18
45 0.0005 100.00  1.005613 58.82
46 0.0005 100.00  1.005786 57.65
47 0.0004 100.00  1.005099 60.00
48 0.0004 100.00  1.013555 61.18
49 0.0004 100.00  1.006851 58.82
50 0.0004 100.00  1.009665 58.82
