1 1.0126 44.16  1.094700 36.47 2.7463
2 0.9604 58.38  1.070485 47.06 1.2195
3 0.9563 62.44  1.056305 48.24 1.1212
4 0.8458 77.16  1.011171 47.06 1.0622
5 0.7359 84.77  0.934238 60.00 1.0071
6 0.6416 82.23  0.888245 55.29 0.9369
7 0.5749 82.23  0.876665 52.94 0.7995
8 0.5201 83.25  0.885758 49.41 0.7717
9 0.3652 90.36  0.912015 56.47 0.5809
10 0.2956 95.94  0.876758 58.82 0.5342
11 0.2925 91.88  0.941479 56.47 0.4479
12 0.1565 98.48  0.825989 64.71 0.3770
13 0.2504 89.34  1.158658 58.82 0.3284
14 0.2604 89.34  1.245901 60.00 0.2449
15 0.0989 98.48  1.047177 57.65 0.2029
16 0.1305 95.43  1.158219 57.65 0.2282
17 0.0401 98.98  0.948563 63.53 0.1490
18 0.0225 99.49  0.930356 58.82 0.1609
19 0.0462 99.49  1.087868 65.88 0.1110
20 0.0141 100.00  0.961918 61.18 0.1122
21 0.0100 100.00  1.026422 62.35 0.0968
22 0.0224 100.00  1.237469 63.53 0.0665
23 0.0045 100.00  1.021883 64.71 0.0564
24 0.0034 100.00  1.136848 62.35 0.0321
25 0.0021 100.00  1.145673 62.35 0.0265
26 0.0033 100.00  1.062050 68.24 0.0530
27 0.0033 100.00  1.054316 70.59 0.0388
28 0.0033 100.00  1.169086 64.71 0.0322
29 0.0014 100.00  1.124131 70.59 0.0295
30 0.0021 100.00  1.249776 68.24 0.0380
31 0.0016 100.00  1.184411 68.24 0.0471
32 0.0016 100.00  1.193212 65.88 0.0348
33 0.0014 100.00  1.173551 67.06 0.0281
34 0.0009 100.00  1.134650 65.88 0.0186
35 0.0005 100.00  1.125697 68.24 0.0154
36 0.0005 100.00  1.182315 68.24 0.0139
37 0.0005 100.00  1.229858 64.71 0.0130
38 0.0011 100.00  1.197558 64.71 0.0298
39 0.0005 100.00  1.129889 70.59 0.0247
40 0.0003 100.00  1.157803 68.24 0.0148
41 0.0004 100.00  1.198924 65.88 0.0275
42 0.0015 100.00  1.269735 61.18 0.0384
43 0.0006 100.00  1.194999 65.88 0.0224
44 0.0003 100.00  1.206441 69.41 0.0066
45 0.0003 100.00  1.248039 69.41 0.0135
46 0.0003 100.00  1.190385 67.06 0.0170
47 0.0002 100.00  1.202286 67.06 0.0087
48 0.0002 100.00  1.258026 65.88 0.0105
49 0.0002 100.00  1.241994 69.41 0.0064
50 0.0002 100.00  1.258616 69.41 0.0094
