1 0.9623 58.88  1.034833 45.88
2 0.8370 59.39  1.006787 48.24
3 0.6341 87.82  0.919988 52.94
4 0.4428 91.88  0.863844 61.18
5 0.3832 90.36  0.875443 60.00
6 0.3158 93.40  0.984634 54.12
7 0.1047 100.00  0.822800 61.18
8 0.1040 100.00  0.931278 57.65
9 0.0525 100.00  0.876591 58.82
10 0.0270 100.00  0.928775 54.12
11 0.0299 100.00  1.064324 56.47
12 0.0200 100.00  1.019484 57.65
13 0.0121 100.00  1.062093 58.82
14 0.0138 100.00  1.085261 54.12
15 0.0096 100.00  1.103824 52.94
16 0.0076 100.00  1.078447 57.65
17 0.0067 100.00  1.058176 56.47
18 0.0052 100.00  1.078274 58.82
19 0.0047 100.00  1.094706 57.65
20 0.0037 100.00  1.119913 58.82
21 0.0033 100.00  1.142992 56.47
22 0.0031 100.00  1.156985 55.29
23 0.0027 100.00  1.114979 63.53
24 0.0031 100.00  1.081295 63.53
25 0.0018 100.00  1.141402 60.00
26 0.0025 100.00  1.174238 55.29
27 0.0018 100.00  1.158820 60.00
28 0.0015 100.00  1.174941 57.65
29 0.0013 100.00  1.185729 57.65
30 0.0012 100.00  1.212743 58.82
31 0.0015 100.00  1.278939 54.12
32 0.0011 100.00  1.230321 54.12
33 0.0011 100.00  1.251555 54.12
34 0.0010 100.00  1.285398 54.12
35 0.0009 100.00  1.222080 58.82
36 0.0010 100.00  1.199135 61.18
37 0.0013 100.00  1.274704 55.29
38 0.0010 100.00  1.255029 54.12
39 0.0008 100.00  1.228887 57.65
40 0.0008 100.00  1.272455 57.65
41 0.0008 100.00  1.308574 55.29
42 0.0007 100.00  1.294983 55.29
43 0.0007 100.00  1.257828 58.82
44 0.0006 100.00  1.282197 60.00
45 0.0006 100.00  1.270295 60.00
46 0.0006 100.00  1.273799 61.18
47 0.0006 100.00  1.254848 60.00
48 0.0006 100.00  1.265723 61.18
49 0.0006 100.00  1.292832 60.00
50 0.0006 100.00  1.258535 61.18
