1 1.1920 34.52  1.258621 28.24 2.5007
2 0.9880 46.19  1.096054 34.12 1.1927
3 1.1392 34.01  1.310042 28.24 1.0779
4 0.8853 48.22  1.046243 35.29 0.9879
5 0.9029 45.18  1.181372 34.12 0.8834
6 0.6178 78.68  0.912219 50.59 0.8609
7 0.5321 80.71  0.975666 45.88 0.7050
8 0.4543 82.23  1.015288 45.88 0.6456
9 0.3784 89.34  1.002470 50.59 0.5319
10 0.2475 94.92  0.993179 47.06 0.4500
11 0.2271 93.91  1.150793 47.06 0.2867
12 0.1059 99.49  0.962681 55.29 0.2712
13 0.0932 100.00  0.929807 60.00 0.2806
14 0.0383 98.98  0.842745 64.71 0.1597
15 0.0204 100.00  0.819194 65.88 0.1376
16 0.0310 100.00  0.888362 58.82 0.1628
17 0.0271 99.49  1.093656 54.12 0.1139
18 0.0088 100.00  0.825925 67.06 0.0836
19 0.0087 100.00  0.819958 65.88 0.0646
20 0.0051 100.00  0.940680 61.18 0.0741
21 0.0093 100.00  1.057344 58.82 0.0625
22 0.0027 100.00  0.881778 67.06 0.0519
23 0.0032 100.00  0.885152 65.88 0.0508
24 0.0029 100.00  1.011453 63.53 0.0399
25 0.0016 100.00  0.853769 63.53 0.0403
26 0.0021 100.00  1.022261 58.82 0.0556
27 0.0013 100.00  0.922436 65.88 0.0325
28 0.0009 100.00  0.961064 67.06 0.0232
29 0.0026 100.00  1.284352 60.00 0.0209
30 0.0006 100.00  0.907468 67.06 0.0164
31 0.0007 100.00  0.914536 68.24 0.0175
32 0.0005 100.00  0.929072 65.88 0.0137
33 0.0004 100.00  0.975048 65.88 0.0115
34 0.0008 100.00  1.033627 62.35 0.0262
35 0.0005 100.00  0.967984 69.41 0.0094
36 0.0003 100.00  0.931160 67.06 0.0171
37 0.0003 100.00  0.945600 67.06 0.0191
38 0.0004 100.00  0.945682 67.06 0.0160
39 0.0005 100.00  0.951023 65.88 0.0340
40 0.0005 100.00  0.975273 65.88 0.0310
41 0.0006 100.00  1.130517 67.06 0.0241
42 0.0004 100.00  1.061932 65.88 0.0042
43 0.0004 100.00  0.949356 65.88 0.0105
44 0.0004 100.00  0.951291 67.06 0.0093
45 0.0003 100.00  0.955572 67.06 0.0108
46 0.0002 100.00  0.986286 67.06 0.0071
47 0.0003 100.00  0.951204 68.24 0.0089
48 0.0002 100.00  0.888981 69.41 0.0156
49 0.0002 100.00  0.905591 64.71 0.0044
50 0.0003 100.00  0.895493 68.24 0.0085
