1 0.9190 53.81  1.125765 34.12
2 0.7667 75.13  1.086406 37.65
3 0.5136 89.85  0.963298 54.12
4 0.3643 91.88  0.938356 52.94
5 0.2646 95.43  1.061005 49.41
6 0.1117 98.98  0.851777 56.47
7 0.0791 98.48  0.894429 56.47
8 0.0714 98.98  0.871844 61.18
9 0.0647 98.48  0.943327 60.00
10 0.0667 97.97  0.974296 63.53
11 0.0149 100.00  1.047000 57.65
12 0.0128 100.00  1.080555 57.65
13 0.0113 100.00  1.127635 60.00
14 0.0094 100.00  1.040945 55.29
15 0.0071 100.00  1.086955 58.82
16 0.0056 100.00  1.107093 57.65
17 0.0045 100.00  1.150743 57.65
18 0.0037 100.00  1.192645 58.82
19 0.0033 100.00  1.195398 60.00
20 0.0029 100.00  1.145639 60.00
21 0.0034 100.00  1.283678 58.82
22 0.0021 100.00  1.246085 56.47
23 0.0018 100.00  1.302065 56.47
24 0.0015 100.00  1.294246 56.47
25 0.0015 100.00  1.287357 56.47
26 0.0022 100.00  1.404658 56.47
27 0.0013 100.00  1.376171 56.47
28 0.0011 100.00  1.418334 56.47
29 0.0012 100.00  1.296197 58.82
30 0.0010 100.00  1.338085 56.47
31 0.0009 100.00  1.347013 56.47
32 0.0008 100.00  1.326911 56.47
33 0.0009 100.00  1.512677 54.12
34 0.0007 100.00  1.420706 55.29
35 0.0007 100.00  1.310629 56.47
36 0.0006 100.00  1.413294 56.47
37 0.0006 100.00  1.411760 55.29
38 0.0006 100.00  1.320338 57.65
39 0.0007 100.00  1.544316 55.29
40 0.0006 100.00  1.440962 56.47
41 0.0009 100.00  1.440045 56.47
42 0.0007 100.00  1.359490 58.82
43 0.0005 100.00  1.433482 57.65
44 0.0005 100.00  1.451139 57.65
45 0.0006 100.00  1.292265 57.65
46 0.0005 100.00  1.390769 57.65
47 0.0005 100.00  1.409602 57.65
48 0.0004 100.00  1.447721 56.47
49 0.0004 100.00  1.429450 56.47
50 0.0004 100.00  1.446564 56.47
