1 0.9252 43.15  1.046750 44.71
2 0.6921 76.65  0.964022 47.06
3 0.5430 80.20  0.953196 55.29
4 0.3178 94.92  0.882373 63.53
5 0.2755 92.89  0.957956 62.35
6 0.1898 95.94  1.014368 62.35
7 0.1025 98.98  1.019014 64.71
8 0.1588 95.43  1.359240 57.65
9 0.1039 96.95  1.369826 60.00
10 0.0455 99.49  1.237327 62.35
11 0.0805 98.48  1.429511 60.00
12 0.0457 98.98  1.317335 64.71
13 0.0155 100.00  1.202764 65.88
14 0.0144 100.00  1.355503 64.71
15 0.0260 100.00  1.496857 64.71
16 0.0150 100.00  1.364212 64.71
17 0.0082 100.00  1.383231 63.53
18 0.0290 100.00  1.703749 63.53
19 0.0049 100.00  1.308228 63.53
20 0.0081 100.00  1.388456 64.71
21 0.0033 100.00  1.338348 63.53
22 0.0023 100.00  1.359704 63.53
23 0.0026 100.00  1.346498 62.35
24 0.0018 100.00  1.375204 62.35
25 0.0052 100.00  1.496327 63.53
26 0.0021 100.00  1.368320 63.53
27 0.0018 100.00  1.366390 64.71
28 0.0017 100.00  1.417898 64.71
29 0.0013 100.00  1.444819 65.88
30 0.0011 100.00  1.463153 63.53
31 0.0011 100.00  1.464707 62.35
32 0.0009 100.00  1.507299 62.35
33 0.0009 100.00  1.480993 63.53
34 0.0008 100.00  1.480379 63.53
35 0.0008 100.00  1.489088 64.71
36 0.0007 100.00  1.490529 62.35
37 0.0007 100.00  1.501836 64.71
38 0.0007 100.00  1.508341 63.53
39 0.0006 100.00  1.501442 61.18
40 0.0007 100.00  1.520312 61.18
41 0.0006 100.00  1.503930 64.71
42 0.0006 100.00  1.492209 63.53
43 0.0006 100.00  1.505532 61.18
44 0.0006 100.00  1.508124 64.71
45 0.0006 100.00  1.508963 62.35
46 0.0005 100.00  1.530694 64.71
47 0.0005 100.00  1.502659 63.53
48 0.0005 100.00  1.522934 63.53
49 0.0005 100.00  1.520303 61.18
50 0.0005 100.00  1.528454 62.35
